SPLIT_ORDERS,FP_REDEMPTION,LAST_UPDATED,RELEASED_BY,BARCODE,CONF_NUM,BILL_ADDRESS,BILL_CITY,BILL_ZIP,BILL_STATE,BILL_LAST,BILL_FIRST,MAIL_FEE,T_FEE,L_FEE,DISCOUNT,TAX,DONATION,FIRST_NAME,LAST_NAME,EMAIL,PHONE,COMPANY,ADDRESS,CITY,STATE,ZIP,ACCOUNT_NUM,ACCOUNT_NAME,PRICE,TOTAL,GAME_DATE,TRANS_DATE,OPPONENT,EVENT_NAME,HOME_TEAM,section,TICKET_TYPE,PACKAGE,PROMO,SCANNED
,,,,BC2453962,CNF-392477,,,,,,,,,,$0.00,$0.00,,Sofia,Okafor,sofia.okafor@example.com,555-0112,,561 Main St,Fond du Lac,WI,54935,ACC15276,Sofia Okafor,$25.70,$27.76,2024-06-09,2024-06-01,Iron City FC,Sport A Game,Team A,VIP-R,Promo,,,Y
,,,,BC3118618,CNF-768854,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,989 Main St,Appleton,WI,54911,ACC97026,Nina Quinn,$49.58,$53.55,2024-06-25,2024-05-31,Iron City FC,Sport A Game,Team A,VIP-R,Single Game,Full Season,,N
,,,,BC3219824,CNF-858490,,,,,,,,,,$0.00,$0.00,,Marcus,Chen,m.chen@example.net,555-0102,,684 Main St,Riverside,WI,53713,ACC10074,Marcus Chen,$44.43,$47.98,2024-06-27,2024-06-08,Crestwood Bulls,Sport A Game,Team A,VIP-R,Season Pass,,,Y
,,,,BC5896624,CNF-633590,,,,,,,,,,$0.00,$0.00,,Zoe,Upton,z.upton@example.com,555-0118,,822 Main St,Milwaukke,WI,53202,ACC94896,Zoe Upton,$15.00,$16.20,2024-05-27,2024-05-18,Valley Hawks,Sport A Game,Team A,VIP-L,Comp,,Bobblehead,N
,,,,BC2754894,CNF-999398,,,,,,,,,,$0.00,$0.00,,Hana,Sato,hsato@example.org,555-0116,,264 Main St,Madison,WI,53703,ACC63523,Hana Sato,$24.64,$26.61,2024-05-24,2024-05-13,Summit Eagles,Sport A Game,Team A,VIP-L,Comp,Weekend Pack,,Y
,,,,BC2876828,CNF-480612,,,,,,,,,,$0.00,$0.00,,Marcus,Chen,m.chen@example.net,555-0102,,999 Main St,Riverside,WI,53713,ACC10074,Marcus Chen,$24.98,$26.98,2024-05-25,2024-04-28,Northern Stars,Sport A Game,Team A,105,Season Pass,Full Season,Bobblehead,Y
,,,,BC8387112,CNF-204555,,,,,,,,,,$0.00,$0.00,,Ben,Vargas,bvargas@example.com,555-0119,Vargas Auto,638 Main St,Eau Claire,WI,54701,ACC81228,Ben Vargas,$12.75,$13.77,2024-06-10,2024-05-11,Summit Eagles,Sport A Game,Team A,VIP-R,Single Game,,Family Day,N
,,,,BC7970985,CNF-284171,,,,,,,,,,$0.00,$0.00,,Aaron,Xu,aaron.xu@example.com,555-0121,,305 Main St,Sheboygan,WI,53081,ACC43466,Aaron Xu,$19.65,$21.22,2024-05-25,2024-05-20,Northern Stars,Sport A Game,Team A,BOX-A,Group,,,Y
,,,,BC1430812,CNF-427110,,,,,,,,,,$0.00,$0.00,,Sofia,Okafor,sofia.okafor@example.com,555-0112,,689 Main St,Fond du Lac,WI,54935,ACC15276,Sofia Okafor,$19.22,$20.76,2024-06-10,2024-05-19,Summit Eagles,Sport A Game,Team A,VIP-L,Comp,,Bobblehead,Y
,,,,BC3939212,CNF-593355,,,,,,,,,,$0.00,$0.00,,Carlos,Rivera,carlos.r@example.com,555-0115,Rivera Foods,631 Main St,Green Bay,WI,54301,ACC96563,Carlos Rivera,$10.53,$11.37,2024-08-17,2024-07-27,River Cats,Sport A Game,Team A,VIP-R,Group,Half Season,,N
