SPLIT_ORDERS,FP_REDEMPTION,LAST_UPDATED,RELEASED_BY,BARCODE,CONF_NUM,BILL_ADDRESS,BILL_CITY,BILL_ZIP,BILL_STATE,BILL_LAST,BILL_FIRST,MAIL_FEE,T_FEE,L_FEE,DISCOUNT,TAX,DONATION,FIRST_NAME,LAST_NAME,EMAIL,PHONE,COMPANY,ADDRESS,CITY,STATE,ZIP,ACCOUNT_NUM,ACCOUNT_NAME,PRICE,TOTAL,GAME_DATE,TRANS_DATE,OPPONENT,EVENT_NAME,HOME_TEAM,section,TICKET_TYPE,PACKAGE,PROMO,SCANNED
,,,,BC7049927,CNF-170966,,,,,,,,,,$0.00,$0.00,,Tyler,Nash,tnash@example.org,555-0111,,638 Oak Ave,Beloit,WI,53511,ACC34551,Tyler Nash,$12.05,$13.01,2024-06-01,2024-05-14,Westfield Thunder,Sport B Game,Team B,BOX-A,Promo,,Opening Night,N
,,,,BC7490791,CNF-491435,,,,,,,,,,$0.00,$0.00,,Tyler,Nash,tnash@example.org,555-0111,,359 Oak Ave,Beloit,WI,53511,ACC34551,Tyler Nash,$44.09,$47.62,2024-08-20,2024-08-19,Delta Rays,Sport B Game,Team B,GA,Single Game,Weekend Pack,Bobblehead,Y
,,,,BC3937508,CNF-970720,,,,,,,,,,$0.00,$0.00,,Sofia,Okafor,sofia.okafor@example.com,555-0112,,897 Oak Ave,Fond du Lac,WI,54935,ACC81567,Sofia Okafor,$25.63,$27.68,2024-07-01,2024-06-16,Lakeshore Tide,Sport B Game,Team B,VIP-R,Season Pass,Half Season,Fireworks,N
,,,,BC1734947,CNF-929538,,,,,,,,,,$0.00,$0.00,,Sofia,Okafor,sofia.okafor@example.com,555-0112,,304 Oak Ave,Fond du Lac,WI,54935,ACC81567,Sofia Okafor,$9.59,$10.36,2024-07-01,2024-06-29,Westfield Thunder,Sport B Game,Team B,GA,Group,,,N
,,,,BC4206183,CNF-400009,,,,,,,,,,$0.00,$0.00,,Sofia,Okafor,sofia.okafor@example.com,555-0112,,465 Oak Ave,Fond du Lac,WI,54935,ACC81567,Sofia Okafor,$19.07,$20.60,2024-08-03,2024-08-01,Northside Comets,Sport B Game,Team B,GA,Group,Full Season,,N
,,,,BC9712003,CNF-379676,,,,,,,,,,$0.00,$0.00,,Ethan,Park,e.park@example.net,555-0113,Park Consulting,920 Oak Ave,Oshkosh,WI,54901,ACC75038,Ethan Park,$44.73,$48.31,2024-08-31,2024-08-28,Delta Rays,Sport B Game,Team B,VIP-L,Single Game,,Family Day,Y
,,,,BC6501583,CNF-793024,,,,,,,,,,$0.00,$0.00,,Ethan,Park,e.park@example.net,555-0113,Park Consulting,402 Oak Ave,Oshkosh,WI,54901,ACC75038,Ethan Park,$24.21,$26.15,2024-08-20,2024-08-10,Delta Rays,Sport B Game,Team B,VIP-R,Promo,,,Y
,,,,BC1710601,CNF-862120,,,,,,,,,,$0.00,$0.00,,Ethan,Park,e.park@example.net,555-0113,Park Consulting,990 Oak Ave,Oshkosh,WI,54901,ACC75038,Ethan Park,$44.70,$48.28,2024-08-03,2024-07-22,Northside Comets,Sport B Game,Team B,BOX-B,Comp,Weekend Pack,Opening Night,Y
,,,,BC3684131,CNF-132653,,,,,,,,,,$0.00,$0.00,,Ethan,Park,e.park@example.net,555-0113,Park Consulting,246 Oak Ave,Oshkosh,WI,54901,ACC75038,Ethan Park,$29.73,$32.11,2024-06-16,2024-05-27,Northside Comets,Sport B Game,Team B,VIP-R,Single Game,Half Season,Fireworks,Y
,,,,BC7223751,CNF-490084,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,554 Oak Ave,Appleton,WI,54911,ACC89310,Nina Quinn,$15.36,$16.59,2024-08-03,2024-07-31,Northside Comets,Sport B Game,Team B,BOX-B,Season Pass,,,N
,,,,BC5187788,CNF-218959,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,126 Oak Ave,Appleton,WI,54911,ACC89310,Nina Quinn,$25.30,$27.32,2024-08-20,2024-08-14,Delta Rays,Sport B Game,Team B,VIP-R,Promo,,Fireworks,Y
,,,,BC4599894,CNF-741599,,,,,,,,,,$0.00,$0.00,,Nina,Quinn,nquinn@example.com,555-0114,,392 Oak Ave,Appleton,WI,54911,ACC89310,Nina Quinn,$20.41,$22.04,2024-07-01,2024-06-15,Westfield Thunder,Sport B Game,Team B,104,Single Game,Half Season,Fireworks,N
,,,,BC2089496,CNF-676713,,,,,,,,,,$0.00,$0.00,,Carlos,Rivera,carlos.r@example.com,555-0115,Rivera Foods,655 Oak Ave,Green Bay,WI,54301,ACC99381,Carlos Rivera,$25.34,$27.37,2024-08-31,2024-08-21,Delta Rays,Sport B Game,Team B,105,Season Pass,,Family Day,Y
,,,,BC4371891,CNF-930541,,,,,,,,,,$0.00,$0.00,,Carlos,Rivera,carlos.r@example.com,555-0115,Rivera Foods,242 Oak Ave,Green Bay,WI,54301,ACC99381,Carlos Rivera,$49.45,$53.41,2024-06-16,2024-06-08,Northside Comets,Sport B Game,Team B,VIP-R,Single Game,Weekend Pack,,N
,,,,BC9030667,CNF-651231,,,,,,,,,,$0.00,$0.00,,Hana,Sato,hsato@example.org,555-0116,,520 Oak Ave,Madison,WI,53703,ACC18617,Hana Sato,$19.80,$21.38,2024-06-01,2024-05-18,Westfield Thunder,Sport B Game,Team B,BOX-B,Single Game,Half Season,,Y
,,,,BC9679860,CNF-461249,,,,,,,,,,$0.00,$0.00,,Hana,Sato,hsato@example.org,555-0116,,231 Oak Ave,Madison,WI,53703,ACC18617,Hana Sato,$44.93,$48.52,2024-06-16,2024-05-29,Northside Comets,Sport B Game,Team B,BOX-B,Season Pass,Half Season,,Y
,,,,BC6413349,CNF-843788,,,,,,,,,,$0.00,$0.00,,Drew,Turner,drew.turner@example.net,555-0117,,330 Oak Ave,Madson,WI,,ACC30056,Drew Turner,$19.33,$20.88,2024-07-08,2024-06-26,Lakeshore Tide,Sport B Game,Team B,BOX-A,Group,Full Season,,Y
,,,,BC3586950,CNF-279516,,,,,,,,,,$0.00,$0.00,,Zoe,Upton,z.upton@example.com,555-0118,,774 Oak Ave,Milwaukke,WI,53202,ACC75873,Zoe Upton,$15.18,$16.39,2024-07-01,2024-06-11,Lakeshore Tide,Sport B Game,Team B,BOX-B,Group,,Opening Night,Y
,,,,BC5440189,CNF-782759,,,,,,,,,,$0.00,$0.00,,Zoe,Upton,z.upton@example.com,555-0118,,315 Oak Ave,Milwaukke,WI,53202,ACC75873,Zoe Upton,$11.09,$11.98,2024-06-09,2024-05-21,Northside Comets,Sport B Game,Team B,VIP-L,Promo,,Opening Night,N
,,,,BC6068298,CNF-606404,,,,,,,,,,$0.00,$0.00,,Zoe,Upton,z.upton@example.com,555-0118,,350 Oak Ave,Milwaukke,WI,53202,ACC75873,Zoe Upton,$49.58,$53.55,2024-06-16,2024-06-03,Northside Comets,Sport B Game,Team B,105,Comp,Full Season,Opening Night,Y
